page_image_path,text
data\printed_pages\Buendia - Instruccion\Buendia - Instruccion_page_000.png,"NOTES:		u and v are used interchangeably 	check against dictionary?
		f and s are used interchangeably 	check against d"
data\printed_pages\Buendia - Instruccion\Buendia - Instruccion_page_001.png,"ictionary?
		accents are inconsistent 		should be ignored (except ñ)
		some letters have horizontal “cap”	tends to mean"
data\printed_pages\Buendia - Instruccion\Buendia - Instruccion_page_002.png,"n follows, or ue after capped q
		some line end hyphens not present	leave words split for now, can decide later
		ç ol"
data\printed_pages\Buendia - Instruccion\Buendia - Instruccion_page_003.png,"d spelling is always modern z	teach AI to always interpret ç as z
PDF p2
Al
INFINITAMENTE AMABLE
NIÑO JESUS.
A Vos, Dul"
data\printed_pages\Buendia - Instruccion\Buendia - Instruccion_page_004.png,"cissimo Niño
JESUS, que no solo os
dignasteis de llamaros
Doctor de los Niños, 
sino también de assis-
tir como Niño en"
data\printed_pages\Buendia - Instruccion\Buendia - Instruccion_page_005.png,"tre los Doctores, 
se consagra humilde esta pequeña
Instrucción de los Niños. Es assi, 
que ella también se dirige a la"
data\printed_pages\Buendia - Instruccion\Buendia - Instruccion_page_006.png,"ju-
ventud; pero a esta, como recuer-
do de lo que aprendió, a los Ni-
ños, como precisa explicacion de 
lo que deben"
data\printed_pages\Buendia - Instruccion\Buendia - Instruccion_page_007.png,"estudiar. Por este so-
lo titulo es muy vuestra; y por
ser para Niños, que confiais a la
educacion de vuestra Compañia,"
data\printed_pages\Buendia - Instruccion\Buendia - Instruccion_page_008.png,"lo es mucho mas. En Vos, (Divi-
no Exemplar de todas las virtu-
des) tienen abreviado el mas se-
PDF p3
guro disseño"
data\printed_pages\Buendia - Instruccion\Buendia - Instruccion_page_009.png,"de su edad: la Reli-
gion para con Dios en la devota
assistencia a los Templos; la piedad
con los Padres en la obedienc"
data\printed_pages\Buendia - Instruccion\Buendia - Instruccion_page_010.png,"ia
mas rendida; y la modestia, y de-
seo de saber, con los mayores, 
gustando mas de oir, y pregun-
tar, que de definir"
data\printed_pages\Buendia - Instruccion\Buendia - Instruccion_page_011.png,", y resolver. Bien
que esto en vuestra infinita Sabi-
duria fue soberana dignacion, y
en la natural ignorancia de los
N"
data\printed_pages\Buendia - Instruccion\Buendia - Instruccion_page_012.png,"iños es indispensable necessi-
dad. 
Ni tienen solamente en Vos 
el disseño, la luz, y el exemplo, 
sino tambien el amo"
data\printed_pages\Buendia - Instruccion\Buendia - Instruccion_page_013.png,"r, y protec-
cion. Vos, como singular Maes-
tro de los Niños, les dais enten-
dimiento, y comunicais la sabi-
duria. Vo"
data\printed_pages\Buendia - Instruccion\Buendia - Instruccion_page_014.png,"s les prometeis el Reyno
de los Cielos, y os indignais con
quien les aparta de Vos, y les
proponeis por norma del can-"
data\printed_pages\Buendia - Instruccion\Buendia - Instruccion_page_015.png,"dor, inocencia, y christiana hu-
mildad. Vuestro amor parece que
no pudo explicarse mas tierno, y
liberal con los Niños"
